Customer ID,Count,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
9369-XFEHK,1,Q3,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data
1374-DMZUI,1,Q3,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer
1989-PRJHP,1,Q3,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices
4822-RVYBB,1,Q3,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person
4184-TJFAN,1,Q3,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person
4145-UQXUQ,1,Q3,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices
1236-WFCDV,1,Q3,3,Churned,Yes,1,96,4777,Competitor,Competitor offered more data
1271-SJBGZ,1,Q3,1,Churned,Yes,1,74,2437,Competitor,Competitor had better devices
4441-NIHPT,1,Q3,1,Churned,Yes,1,90,2995,Competitor,Competitor had better devices
8999-BOHSE,1,Q3,2,Churned,Yes,1,89,2202,Attitude,Attitude of support person
7029-RPUAV,1,Q3,3,Churned,Yes,1,87,5508,Competitor,Competitor offered more data
8111-SLLHI,1,Q3,3,Churned,Yes,1,96,4687,Attitude,Attitude of support person
5293-WXJAK,1,Q3,3,Churned,Yes,1,82,4553,Competitor,Competitor offered more data
4086-YQSNZ,1,Q3,2,Churned,Yes,1,89,3834,Attitude,Attitude of service provider
8399-YNDCH,1,Q3,1,Churned,Yes,1,70,4716,Competitor,Competitor had better devices
5565-FILXA,1,Q3,2,Churned,Yes,1,96,5913,Other,Don't know
4187-CINZD,1,Q3,2,Churned,Yes,1,90,3180,Competitor,Competitor had better devices
6818-WOBHJ,1,Q3,1,Churned,Yes,1,69,5651,Competitor,Competitor had better devices
9134-CEQMF,1,Q3,2,Churned,Yes,1,89,3077,Dissatisfaction,Network reliability
8519-IMDHU,1,Q3,1,Churned,Yes,1,83,4981,Competitor,Competitor had better devices
3372-KWFBM,1,Q3,3,Churned,Yes,1,81,2508,Dissatisfaction,Network reliability
7206-GZCDC,1,Q3,2,Churned,Yes,1,75,4371,Attitude,Attitude of support person
1768-ZAIFU,1,Q3,1,Churned,Yes,1,67,5688,Competitor,Competitor made better offer
3793-MMFUH,1,Q3,1,Churned,Yes,1,90,2230,Competitor,Competitor made better offer
6567-HOOPW,1,Q3,3,Churned,Yes,1,76,4363,Competitor,Competitor made better offer
8621-MNIHH,1,Q3,1,Churned,Yes,1,88,3369,Competitor,Competitor had better devices
5419-CONWX,1,Q3,1,Churned,Yes,1,89,2268,Competitor,Competitor had better devices
7024-OHCCK,1,Q3,3,Churned,Yes,1,72,4193,Other,Poor expertise of online support
5357-TZHPP,1,Q3,2,Churned,Yes,1,83,5745,Attitude,Attitude of support person
0506-LVNGN,1,Q3,1,Churned,Yes,1,90,4028,Competitor,Competitor had better devices
9809-IMGCQ,1,Q3,1,Churned,Yes,1,93,4458,Competitor,Competitor made better offer
3254-YRILK,1,Q3,1,Churned,Yes,1,69,5683,Competitor,Competitor had better devices
0529-ONKER,1,Q3,3,Churned,Yes,1,96,2099,Attitude,Attitude of support person
5240-IJOQT,1,Q3,1,Churned,Yes,1,88,3348,Competitor,Competitor had better devices
0661-XEYAN,1,Q3,1,Churned,Yes,1,90,3884,Competitor,Competitor had better devices
2660-EMUBI,1,Q3,1,Churned,Yes,1,75,5353,Competitor,Competitor made better offer
7675-OZCZG,1,Q3,3,Churned,Yes,1,77,4145,Competitor,Competitor made better offer
9391-EOYLI,1,Q3,2,Churned,Yes,1,69,5374,Competitor,Competitor made better offer
2761-OCIAX,1,Q3,2,Churned,Yes,1,81,2803,Competitor,Competitor made better offer
3068-OMWZA,1,Q3,1,Churned,Yes,1,91,3106,Competitor,Competitor made better offer
4154-AQUGT,1,Q3,1,Churned,Yes,1,82,3861,Competitor,Competitor made better offer
8017-LXHFA,1,Q3,2,Churned,Yes,1,95,2740,Competitor,Competitor made better offer
4248-QPAVC,1,Q3,1,Churned,Yes,1,90,3209,Competitor,Competitor made better offer
4690-LLKUA,1,Q3,1,Churned,Yes,1,93,3797,Competitor,Competitor made better offer
9490-DFPMD,1,Q3,2,Churned,Yes,1,90,4871,Competitor,Competitor made better offer
8580-AECUZ,1,Q3,3,Churned,Yes,1,92,5001,Competitor,Competitor made better offer
5047-LHVLY,1,Q3,2,Churned,Yes,1,91,3438,Competitor,Competitor made better offer
8375-DKEBR,1,Q3,1,Churned,Yes,1,96,3438,Competitor,Competitor had better devices
7279-BUYWN,1,Q3,1,Churned,Yes,1,89,3380,Attitude,Attitude of support person
7156-MHUGY,1,Q3,1,Churned,Yes,1,76,5394,Competitor,Competitor had better devices
9606-PBKBQ,1,Q3,1,Churned,Yes,1,94,4584,Attitude,Attitude of support person
3536-IQCTX,1,Q3,1,Churned,Yes,1,75,2712,Competitor,Competitor had better devices
3132-TVFDZ,1,Q3,2,Churned,Yes,1,82,5172,Attitude,Attitude of support person
8080-DDEMJ,1,Q3,2,Churned,Yes,1,79,4499,Attitude,Attitude of support person
6702-OHFWR,1,Q3,3,Churned,Yes,1,91,4972,Other,Poor expertise of online support
4510-PYUSH,1,Q3,1,Churned,Yes,1,75,3110,Attitude,Attitude of support person
8840-DQLGN,1,Q3,1,Churned,Yes,1,81,4745,Attitude,Attitude of support person
4193-ORFCL,1,Q3,1,Churned,Yes,1,70,2740,Competitor,Competitor had better devices
7776-QWNFX,1,Q3,3,Churned,Yes,1,83,4795,Attitude,Attitude of support person
6689-TCZHQ,1,Q3,3,Churned,Yes,1,65,4054,Attitude,Attitude of support person
9497-QCMMS,1,Q3,1,Churned,Yes,1,81,5536,Competitor,Competitor made better offer
3424-NMNBO,1,Q3,1,Churned,Yes,1,91,4739,Competitor,Competitor made better offer
4514-GFCFI,1,Q3,2,Churned,Yes,1,91,5136,Attitude,Attitude of support person
8000-REIQB,1,Q3,2,Churned,Yes,1,94,3208,Competitor,Competitor made better offer
4795-KTRTH,1,Q3,1,Churned,Yes,1,91,4287,Competitor,Competitor made better offer
9961-JBNMK,1,Q3,1,Churned,Yes,1,87,4317,Dissatisfaction,Product dissatisfaction
6179-GJPSO,1,Q3,1,Churned,Yes,1,86,2833,Competitor,Competitor made better offer
8290-YWKHZ,1,Q3,3,Churned,Yes,1,90,5247,Competitor,Competitor made better offer
8051-HJRLT,1,Q3,3,Churned,Yes,1,82,2146,Attitude,Attitude of service provider
4021-RQSNY,1,Q3,3,Churned,Yes,1,72,5137,Attitude,Attitude of service provider
9061-TIHDA,1,Q3,1,Churned,Yes,1,90,2982,Competitor,Competitor had better devices
8699-ASUFO,1,Q3,3,Churned,Yes,1,96,4969,Attitude,Attitude of service provider
4695-WJZUE,1,Q3,1,Churned,Yes,1,80,3685,Competitor,Competitor had better devices
3988-RQIXO,1,Q3,3,Churned,Yes,1,71,2371,Attitude,Attitude of service provider
5931-FLJJF,1,Q3,2,Churned,Yes,1,83,3669,Attitude,Attitude of service provider
3207-OYBWH,1,Q3,2,Churned,Yes,1,86,6259,Attitude,Attitude of support person
7216-EWTRS,1,Q3,1,Churned,Yes,1,65,3128,Attitude,Attitude of service provider
2528-HFYZX,1,Q3,1,Churned,Yes,1,92,3266,Competitor,Competitor had better devices
4140-MUHUG,1,Q3,2,Churned,Yes,1,70,3561,Attitude,Attitude of service provider
1587-FKLZB,1,Q3,1,Churned,Yes,1,96,4479,Competitor,Competitor had better devices
5440-FLBQG,1,Q3,3,Churned,Yes,1,73,4708,Attitude,Attitude of service provider
2774-LVQUS,1,Q3,3,Churned,Yes,1,70,2596,Competitor,Competitor made better offer
4612-THJBS,1,Q3,3,Churned,Yes,1,93,5605,Attitude,Attitude of service provider
4094-NSEDU,1,Q3,2,Churned,Yes,1,73,4819,Competitor,Competitor made better offer
1846-XWOQN,1,Q3,2,Churned,Yes,1,71,2825,Competitor,Competitor made better offer
3757-NJYBX,1,Q3,2,Churned,Yes,1,65,4113,Other,Moved
9898-KZQDZ,1,Q3,1,Churned,Yes,1,95,5676,Competitor,Competitor had better devices
8263-JQAIK,1,Q3,3,Churned,Yes,1,77,5573,Competitor,Competitor offered more data
2205-YMZZJ,1,Q3,3,Churned,Yes,1,70,2015,Competitor,Competitor made better offer
1254-IZEYF,1,Q3,3,Churned,Yes,1,96,5362,Competitor,Competitor made better offer
9221-OTIVJ,1,Q3,1,Churned,Yes,1,86,2292,Dissatisfaction,Product dissatisfaction
5908-QMGOE,1,Q3,1,Churned,Yes,1,80,4553,Competitor,Competitor had better devices
0397-GZBBC,1,Q3,2,Churned,Yes,1,85,5390,Price,Price too high
7641-EUYET,1,Q3,1,Churned,Yes,1,72,5712,Dissatisfaction,Product dissatisfaction
8922-LIEGH,1,Q3,3,Churned,Yes,1,82,4078,Dissatisfaction,Poor expertise of online support
8245-UMPYT,1,Q3,3,Churned,Yes,1,80,2688,Dissatisfaction,Poor expertise of phone support
5186-SAMNZ,1,Q3,2,Churned,Yes,1,77,3273,Price,Price too high
5373-SFODM,1,Q3,2,Churned,Yes,1,82,3041,Dissatisfaction,Product dissatisfaction
0022-TCJCI,1,Q3,1,Churned,Yes,1,92,2654,Dissatisfaction,Limited range of services
5130-IEKQT,1,Q3,2,Churned,Yes,1,91,4283,Price,Price too high
3269-ATYWD,1,Q3,1,Churned,Yes,1,65,4892,Other,Don't know
0354-WYROK,1,Q3,2,Churned,Yes,1,91,4050,Other,Don't know
7576-OYWBN,1,Q3,1,Churned,Yes,1,67,2930,Competitor,Competitor had better devices
5539-TMZLF,1,Q3,1,Churned,Yes,1,69,5057,Competitor,Competitor had better devices
3336-JORSO,1,Q3,1,Churned,Yes,1,80,3401,Dissatisfaction,Product dissatisfaction
6861-XWTWQ,1,Q3,2,Churned,Yes,1,90,2487,Attitude,Attitude of support person
4283-FUTGF,1,Q3,3,Churned,Yes,1,65,3715,Dissatisfaction,Network reliability
2397-BRLOM,1,Q3,1,Churned,Yes,1,91,3443,Other,Don't know
8510-AWCXC,1,Q3,1,Churned,Yes,1,65,3269,Attitude,Attitude of support person
8225-BTJAU,1,Q3,1,Churned,Yes,1,87,3856,Competitor,Competitor had better devices
1724-BQUHA,1,Q3,2,Churned,Yes,1,66,2718,Attitude,Attitude of support person
4826-XTSOH,1,Q3,1,Churned,Yes,1,96,4843,Competitor,Competitor had better devices
2408-WITXK,1,Q3,1,Churned,Yes,1,92,3244,Other,Deceased
2634-HCZGT,1,Q3,1,Churned,Yes,1,77,5271,Other,Moved
7503-QQRVF,1,Q3,1,Churned,Yes,1,81,2076,Competitor,Competitor had better devices
0709-TVGUR,1,Q3,1,Churned,Yes,1,69,3145,Competitor,Competitor had better devices
3001-CBHLQ,1,Q3,1,Churned,Yes,1,79,3966,Attitude,Attitude of support person
4102-OQUPX,1,Q3,3,Churned,Yes,1,91,5429,Competitor,Competitor made better offer
3999-QGRJH,1,Q3,1,Churned,Yes,1,88,3068,Dissatisfaction,Product dissatisfaction
2454-RPBRZ,1,Q3,3,Churned,Yes,1,90,2709,Dissatisfaction,Service dissatisfaction
2265-CYWIV,1,Q3,1,Churned,Yes,1,77,4708,Dissatisfaction,Network reliability
4550-VBOFE,1,Q3,1,Churned,Yes,1,91,5005,Competitor,Competitor had better devices
7409-KIUTL,1,Q3,3,Churned,Yes,1,72,5345,Competitor,Competitor made better offer
1732-VHUBQ,1,Q3,3,Churned,Yes,1,82,4457,Competitor,Competitor made better offer
0679-IDSTG,1,Q3,1,Churned,Yes,1,87,4568,Competitor,Competitor had better devices
8802-UNOJF,1,Q3,1,Churned,Yes,1,78,5565,Competitor,Competitor had better devices
6313-GIDIT,1,Q3,2,Churned,Yes,1,65,6280,Price,Price too high
2845-AFFTX,1,Q3,1,Churned,Yes,1,76,4726,Dissatisfaction,Product dissatisfaction
2815-CPTUL,1,Q3,2,Churned,Yes,1,89,3684,Price,Price too high
1891-FZYSA,1,Q3,1,Churned,Yes,1,82,6363,Competitor,Competitor had better devices
9685-WKZGT,1,Q3,3,Churned,Yes,1,70,2075,Price,Extra data charges
6022-UGGSO,1,Q3,1,Churned,Yes,1,90,2091,Competitor,Competitor had better devices
3923-CSIHK,1,Q3,3,Churned,Yes,1,94,5746,Other,Poor expertise of online support
3677-IYRBF,1,Q3,1,Churned,Yes,1,90,4002,Attitude,Attitude of support person
8118-LSUEL,1,Q3,1,Churned,Yes,1,79,5507,Dissatisfaction,Product dissatisfaction
5277-ZLOOR,1,Q3,3,Churned,Yes,1,86,5512,Dissatisfaction,Network reliability
4248-HCETZ,1,Q3,3,Churned,Yes,1,73,2174,Attitude,Attitude of support person
9174-FKWZE,1,Q3,1,Churned,Yes,1,78,3848,Dissatisfaction,Limited range of services
5307-DZCVC,1,Q3,3,Churned,Yes,1,74,2431,Price,Extra data charges
8679-JOEVF,1,Q3,1,Churned,Yes,1,87,5556,Price,Price too high
4803-AXVYP,1,Q3,1,Churned,Yes,1,91,3474,Dissatisfaction,Service dissatisfaction
5649-ANRML,1,Q3,3,Churned,Yes,1,90,4486,Other,Poor expertise of online support
7395-IGJOS,1,Q3,2,Churned,Yes,1,79,3443,Competitor,Competitor made better offer
7890-VYYWG,1,Q3,1,Churned,Yes,1,89,3766,Competitor,Competitor had better devices
9907-SWKKF,1,Q3,1,Churned,Yes,1,65,4842,Competitor,Competitor had better devices
6397-JNZZG,1,Q3,1,Churned,Yes,1,85,2573,Competitor,Competitor had better devices
7779-LGOVN,1,Q3,1,Churned,Yes,1,84,4990,Dissatisfaction,Limited range of services
9710-ZUSHQ,1,Q3,1,Churned,Yes,1,92,5849,Price,Lack of affordable download/upload speed
3902-FOIGH,1,Q3,1,Churned,Yes,1,68,3967,Dissatisfaction,Product dissatisfaction
3318-OSATS,1,Q3,2,Churned,Yes,1,91,2080,Other,Don't know
2636-ALXXZ,1,Q3,2,Churned,Yes,1,74,2151,Dissatisfaction,Poor expertise of online support
9885-CSMWE,1,Q3,1,Churned,Yes,1,67,2139,Dissatisfaction,Product dissatisfaction
8058-JMEQO,1,Q3,3,Churned,Yes,1,95,3543,Competitor,Competitor made better offer
7657-DYEPJ,1,Q3,3,Churned,Yes,1,82,2645,Price,Lack of affordable download/upload speed
8276-MQBYC,1,Q3,2,Churned,Yes,1,81,6204,Price,Long distance charges
6015-VVHHE,1,Q3,3,Churned,Yes,1,96,2516,Dissatisfaction,Service dissatisfaction
2516-VQRRV,1,Q3,3,Churned,Yes,1,65,3350,Price,Long distance charges
7580-UGXNC,1,Q3,1,Churned,Yes,1,96,3016,Price,Extra data charges
5178-LMXOP,1,Q3,1,Churned,Yes,1,70,5795,Price,Price too high
7056-IMHCC,1,Q3,1,Churned,Yes,1,94,5884,Price,Price too high
8749-JMNKX,1,Q3,1,Churned,Yes,1,83,4788,Dissatisfaction,Limited range of services
0917-EZOLA,1,Q3,3,Churned,Yes,1,74,5925,Price,Extra data charges
8414-MYSHR,1,Q3,1,Churned,Yes,1,78,2834,Dissatisfaction,Network reliability
4988-IQIGL,1,Q3,3,Churned,Yes,1,92,4403,Attitude,Attitude of support person
4706-AXVKM,1,Q3,2,Churned,Yes,1,67,5118,Price,Extra data charges
5889-JTMUL,1,Q3,3,Churned,Yes,1,92,5863,Price,Price too high
9026-RNUJS,1,Q3,1,Churned,Yes,1,81,4618,Dissatisfaction,Product dissatisfaction
1624-NALOJ,1,Q3,1,Churned,Yes,1,88,2960,Other,Moved
6210-KBBPI,1,Q3,1,Churned,Yes,1,93,2313,Competitor,Competitor had better devices
2260-USTRB,1,Q3,1,Churned,Yes,1,67,2767,Competitor,Competitor offered more data
8623-TMRBY,1,Q3,2,Churned,Yes,1,74,6245,Competitor,Competitor offered more data
6900-PXRMS,1,Q3,1,Churned,Yes,1,91,3157,Dissatisfaction,Product dissatisfaction
3346-BRMIS,1,Q3,2,Churned,Yes,1,92,2167,Dissatisfaction,Service dissatisfaction
2722-JMONI,1,Q3,1,Churned,Yes,1,76,4989,Dissatisfaction,Limited range of services
7579-OOPEC,1,Q3,1,Churned,Yes,1,78,5461,Competitor,Competitor had better devices
1771-OADNZ,1,Q3,3,Churned,Yes,1,95,2151,Price,Extra data charges
0612-RTZZA,1,Q3,2,Churned,Yes,1,87,4628,Price,Price too high
4433-JCGCG,1,Q3,1,Churned,Yes,1,88,2436,Competitor,Competitor made better offer
9488-HGMJH,1,Q3,3,Churned,Yes,1,85,5287,Competitor,Competitor made better offer
4818-QIUFN,1,Q3,1,Churned,Yes,1,95,4997,Attitude,Attitude of support person
6961-VCPMC,1,Q3,3,Churned,Yes,1,75,4876,Competitor,Competitor offered more data
4424-TKOPW,1,Q3,1,Churned,Yes,1,70,4998,Price,Lack of affordable download/upload speed
4201-JMNGR,1,Q3,1,Churned,Yes,1,87,5527,Dissatisfaction,Service dissatisfaction
1866-RZZQS,1,Q3,1,Churned,Yes,1,91,2169,Competitor,Competitor had better devices
8631-NBHFZ,1,Q3,1,Churned,Yes,1,73,5910,Competitor,Competitor offered higher download speeds
4958-XCBDQ,1,Q3,3,Churned,Yes,1,92,3689,Competitor,Competitor offered more data
8337-UPOAQ,1,Q3,2,Churned,Yes,1,76,5124,Competitor,Competitor made better offer
6712-OAWRH,1,Q3,3,Churned,Yes,1,76,5154,Attitude,Attitude of support person
5914-DVBWJ,1,Q3,1,Churned,Yes,1,91,5145,Competitor,Competitor offered more data
8644-XLFBW,1,Q3,2,Churned,Yes,1,84,5674,Competitor,Competitor offered more data
1833-VGRUM,1,Q3,2,Churned,Yes,1,71,4684,Price,Price too high
8374-XGEJJ,1,Q3,1,Churned,Yes,1,87,3123,Dissatisfaction,Product dissatisfaction
6946-LMSQS,1,Q3,1,Churned,Yes,1,90,2673,Competitor,Competitor made better offer
4039-HEUNW,1,Q3,3,Churned,Yes,1,82,4652,Price,Lack of affordable download/upload speed
0812-WUPTB,1,Q3,2,Churned,Yes,1,69,3022,Price,Long distance charges
2403-BCASL,1,Q3,2,Churned,Yes,1,93,3711,Other,Don't know
3871-IKPYH,1,Q3,3,Churned,Yes,1,83,2767,Other,Moved
1304-NECVQ,1,Q3,2,Churned,Yes,1,92,5203,Competitor,Competitor made better offer
5655-JSMZM,1,Q3,2,Churned,Yes,1,74,5904,Attitude,Attitude of support person
4505-EXZHB,1,Q3,1,Churned,Yes,1,91,3964,Competitor,Competitor offered more data
8972-HJWNV,1,Q3,1,Churned,Yes,1,80,5245,Competitor,Competitor made better offer
2860-RANUS,1,Q3,1,Churned,Yes,1,75,3336,Price,Price too high
0406-BPDVR,1,Q3,2,Churned,Yes,1,68,6405,Price,Lack of affordable download/upload speed
5276-KQWHG,1,Q3,3,Churned,Yes,1,74,4596,Price,Extra data charges
9667-EQRXU,1,Q3,2,Churned,Yes,1,94,3016,Other,Don't know
0946-CLJTI,1,Q3,1,Churned,Yes,1,91,4662,Competitor,Competitor had better devices
0324-BRPCJ,1,Q3,1,Churned,Yes,1,70,4481,Competitor,Competitor offered more data
9189-JWSHV,1,Q3,2,Churned,Yes,1,91,4937,Price,Price too high
0576-WNXXC,1,Q3,1,Churned,Yes,1,75,2999,Dissatisfaction,Service dissatisfaction
5482-PLVPE,1,Q3,1,Churned,Yes,1,72,3278,Competitor,Competitor had better devices
4902-OHLSK,1,Q3,1,Churned,Yes,1,93,4235,Attitude,Attitude of support person
0495-ZBNGW,1,Q3,2,Churned,Yes,1,90,4324,Competitor,Competitor offered more data
2357-COQEK,1,Q3,2,Churned,Yes,1,78,4136,Competitor,Competitor made better offer
2034-CGRHZ,1,Q3,3,Churned,Yes,1,66,5245,Attitude,Attitude of support person
9360-AHGNL,1,Q3,2,Churned,Yes,1,69,5863,Dissatisfaction,Limited range of services
5485-WUYWF,1,Q3,1,Churned,Yes,1,87,4522,Price,Long distance charges
2632-UCGVD,1,Q3,2,Churned,Yes,1,72,4512,Price,Extra data charges
6425-YQLLO,1,Q3,2,Churned,Yes,1,86,6117,Other,Don't know
2091-RFFBA,1,Q3,1,Churned,Yes,1,75,2560,Attitude,Attitude of support person
6899-PPEEA,1,Q3,2,Churned,Yes,1,81,4448,Attitude,Attitude of service provider
4597-NUCQV,1,Q3,3,Churned,Yes,1,87,4287,Attitude,Attitude of support person
3754-DXMRT,1,Q3,2,Churned,Yes,1,86,5655,Attitude,Attitude of support person
7130-VTEWQ,1,Q3,3,Churned,Yes,1,92,4174,Competitor,Competitor offered more data
7903-CMPEY,1,Q3,1,Churned,Yes,1,87,4138,Competitor,Competitor had better devices
1704-NRWYE,1,Q3,2,Churned,Yes,1,71,5242,Attitude,Attitude of support person
7481-ATQQS,1,Q3,2,Churned,Yes,1,70,5651,Attitude,Attitude of support person
0023-HGHWL,1,Q3,3,Churned,Yes,1,85,5437,Competitor,Competitor made better offer
1792-UXAFY,1,Q3,1,Churned,Yes,1,89,5082,Dissatisfaction,Service dissatisfaction
6161-UUUTA,1,Q3,2,Churned,Yes,1,90,4367,Price,Price too high
6543-XRMYR,1,Q3,1,Churned,Yes,1,69,3548,Dissatisfaction,Product dissatisfaction
2479-BRAMR,1,Q3,1,Churned,Yes,1,71,4995,Competitor,Competitor offered more data
3714-JTVOV,1,Q3,1,Churned,Yes,1,94,2322,Attitude,Attitude of support person
8580-QVLOC,1,Q3,1,Churned,Yes,1,78,5697,Competitor,Competitor made better offer
2012-NWRPA,1,Q3,3,Churned,Yes,1,71,3172,Competitor,Competitor made better offer
8808-ELEHO,1,Q3,1,Churned,Yes,1,72,3812,Price,Price too high
9058-CBREO,1,Q3,1,Churned,Yes,1,95,3357,Dissatisfaction,Product dissatisfaction
8063-GBATB,1,Q3,1,Churned,Yes,1,80,5172,Competitor,Competitor had better devices
1069-XAIEM,1,Q3,1,Churned,Yes,1,96,2975,Competitor,Competitor had better devices
6987-XQSJT,1,Q3,1,Churned,Yes,1,78,5684,Attitude,Attitude of support person
0722-TROQR,1,Q3,1,Churned,Yes,1,78,2122,Price,Lack of affordable download/upload speed
6402-ZFPPI,1,Q3,1,Churned,Yes,1,94,4969,Price,Price too high
